category_id,category_name,provider,keywords,url
49,Data Management Technician,0,Data Management Technician,http://rss.indeed.com/rss?q=Data+Management+Technician&l=Cypress%2C+CA&radius=35
50,System Administrator Entry,0,System Administrator Entry,http://rss.indeed.com/rss?q=System+Administrator+Entry&l=Cypress%2C+CA&radius=35
51,Linux,0,Linux,http://rss.indeed.com/rss?q=Linux&l=Cypress%2C+CA&radius=35
52,IT Lab Specialist,0,IT Lab Specialist,http://rss.indeed.com/rss?q=IT+Lab+Specialist&l=Cypress%2C+CA&radius=35
53,IT Lab Technician,0,IT Lab Technician,http://rss.indeed.com/rss?q=IT+Lab+Technician&l=Cypress%2C+CA&radius=35
54,IT Admin,0,IT Admin,http://rss.indeed.com/rss?q=IT+Admin&l=Cypress%2C+CA&radius=35
55,System Admin,0,System Admin,http://rss.indeed.com/rss?q=System+Admin&l=Cypress%2C+CA&radius=35
56,Systems Engineer,0,Systems Engineer,http://rss.indeed.com/rss?q=Systems+Engineer&l=Cypress%2C+CA&radius=35
57,IT Security Engineer,0,IT Security Engineer,http://rss.indeed.com/rss?q=IT+Security+Engineer&l=Cypress%2C+CA&radius=35
58,Computer System Specialist,0,Computer System Specialist,http://rss.indeed.com/rss?q=Computer+System+Specialist&l=Cypress%2C+CA&radius=35
59,Desktop Support,0,Desktop Support,http://rss.indeed.com/rss?q=Desktop+Support&l=Cypress%2C+CA&radius=35
60,IT Engineer,0,IT Engineer,http://rss.indeed.com/rss?q=IT+Engineer&l=Cypress%2C+CA&radius=35
61,IT Solutions Engineer,0,IT Solutions Engineer,http://rss.indeed.com/rss?q=IT+Solutions+Engineer&l=Cypress%2C+CA&radius=35
